index,true_class,pred_class,confidence,correct,votes
18,normal,injection,1.0,False,{'injection': 2.0}
19,grayhole,injection,1.0,False,{'injection': 2.0}
20,normal,injection,1.0,False,{'injection': 2.0}
21,high_StNum,high,0.23076923076923078,False,"{'grayhole': 2.0, 'high': 3.0, 'injection': 2.0, 'poisoned': 3.0, 'random': 3.0}"
22,injection,injection,0.5,True,"{'grayhole': 1.0, 'injection': 2.0, 'poisoned': 1.0}"
23,injection,injection,1.0,True,{'injection': 2.0}
24,injection,injection,0.3333333333333333,True,"{'grayhole': 1.0, 'high': 1.0, 'injection': 3.0, 'masquerade': 1.0, 'poisoned': 2.0, 'random': 1.0}"
25,normal,injection,0.5,False,"{'injection': 2.0, 'masquerade': 1.0, 'random': 1.0}"
26,grayhole,injection,1.0,False,{'injection': 2.0}
27,normal,injection,1.0,False,{'injection': 2.0}
28,high_StNum,poisoned,0.26666666666666666,False,"{'grayhole': 2.0, 'high': 3.0, 'injection': 3.0, 'masquerade': 1.0, 'poisoned': 4.0, 'random': 2.0}"
29,injection,injection,0.5,True,"{'grayhole': 1.0, 'injection': 2.0, 'masquerade': 1.0}"
30,injection,grayhole,0.2857142857142857,False,"{'grayhole': 2.0, 'high': 1.0, 'injection': 2.0, 'poisoned': 1.0, 'random': 1.0}"
31,random_replay,injection,1.0,False,{'injection': 2.0}
32,injection,injection,0.3,True,"{'grayhole': 2.0, 'high': 1.0, 'injection': 3.0, 'masquerade': 1.0, 'poisoned': 2.0, 'random': 1.0}"
33,injection,injection,0.6,True,"{'injection': 3.0, 'poisoned': 2.0}"
34,normal,injection,0.5,False,"{'injection': 2.0, 'masquerade': 1.0, 'random': 1.0}"
35,grayhole,injection,1.0,False,{'injection': 2.0}
36,normal,injection,1.0,False,{'injection': 2.0}
37,injection,injection,0.2727272727272727,True,"{'grayhole': 2.0, 'high': 1.0, 'injection': 3.0, 'masquerade': 1.0, 'poisoned': 2.0, 'random': 2.0}"
38,normal,injection,0.5,False,"{'injection': 2.0, 'masquerade': 1.0, 'random': 1.0}"
39,grayhole,injection,1.0,False,{'injection': 2.0}
40,normal,injection,1.0,False,{'injection': 2.0}
41,high_StNum,poisoned,0.2857142857142857,False,"{'grayhole': 1.0, 'high': 2.0, 'injection': 3.0, 'masquerade': 1.0, 'poisoned': 4.0, 'random': 3.0}"
42,high_StNum,injection,0.2857142857142857,False,"{'grayhole': 1.0, 'injection': 2.0, 'masquerade': 1.0, 'poisoned': 2.0, 'random': 1.0}"
43,random_replay,injection,0.6666666666666666,False,"{'injection': 2.0, 'random': 1.0}"
44,normal,injection,1.0,False,{'injection': 2.0}
45,grayhole,injection,1.0,False,{'injection': 2.0}
46,high_StNum,poisoned,0.26666666666666666,False,"{'grayhole': 2.0, 'high': 3.0, 'injection': 3.0, 'masquerade': 1.0, 'poisoned': 4.0, 'random': 2.0}"
47,normal,injection,0.6666666666666666,False,"{'injection': 2.0, 'masquerade': 1.0}"
48,normal,injection,0.5,False,"{'injection': 3.0, 'masquerade': 1.0, 'poisoned': 1.0, 'random': 1.0}"
49,normal,injection,0.75,False,"{'injection': 3.0, 'poisoned': 1.0}"
50,normal,injection,0.75,False,"{'injection': 3.0, 'poisoned': 1.0}"
51,masquerade_fake_normal,high,0.25,False,"{'high': 2.0, 'injection': 2.0, 'masquerade': 1.0, 'poisoned': 2.0, 'random': 1.0}"
52,masquerade_fake_normal,injection,0.6666666666666666,False,"{'injection': 2.0, 'poisoned': 1.0}"
53,masquerade_fake_normal,injection,0.6666666666666666,False,"{'injection': 2.0, 'poisoned': 1.0}"
54,normal,injection,0.6,False,"{'injection': 3.0, 'masquerade': 1.0, 'poisoned': 1.0}"
55,masquerade_fake_normal,high,0.25,False,"{'high': 2.0, 'injection': 2.0, 'masquerade': 1.0, 'poisoned': 2.0, 'random': 1.0}"
56,normal,injection,1.0,False,{'injection': 2.0}
57,normal,injection,1.0,False,{'injection': 2.0}
58,normal,injection,1.0,False,{'injection': 2.0}
59,random_replay,injection,1.0,False,{'injection': 2.0}
60,normal,injection,1.0,False,{'injection': 2.0}
61,random_replay,injection,0.6,False,"{'injection': 3.0, 'masquerade': 1.0, 'poisoned': 1.0}"
62,masquerade_fake_normal,high,0.25,False,"{'high': 2.0, 'injection': 2.0, 'masquerade': 1.0, 'poisoned': 2.0, 'random': 1.0}"
63,normal,injection,1.0,False,{'injection': 2.0}
64,high_StNum,high,0.25,False,"{'grayhole': 2.0, 'high': 3.0, 'injection': 2.0, 'poisoned': 3.0, 'random': 2.0}"
65,random_replay,injection,0.6,False,"{'injection': 3.0, 'masquerade': 1.0, 'poisoned': 1.0}"
66,random_replay,injection,0.75,False,"{'injection': 3.0, 'poisoned': 1.0}"
67,high_StNum,poisoned,0.2857142857142857,False,"{'grayhole': 2.0, 'high': 3.0, 'injection': 3.0, 'poisoned': 4.0, 'random': 2.0}"
68,normal,injection,0.6666666666666666,False,"{'injection': 2.0, 'masquerade': 1.0}"
69,grayhole,injection,1.0,False,{'injection': 2.0}
70,random_replay,injection,0.6,False,"{'injection': 3.0, 'masquerade': 1.0, 'poisoned': 1.0}"
71,random_replay,injection,0.75,False,"{'injection': 3.0, 'poisoned': 1.0}"
72,high_StNum,poisoned,0.2857142857142857,False,"{'grayhole': 2.0, 'high': 3.0, 'injection': 3.0, 'poisoned': 4.0, 'random': 2.0}"
73,injection,injection,0.375,True,"{'grayhole': 1.0, 'high': 1.0, 'injection': 3.0, 'poisoned': 2.0, 'random': 1.0}"
74,random_replay,injection,0.6666666666666666,False,"{'injection': 2.0, 'masquerade': 1.0}"
75,random_replay,injection,1.0,False,{'injection': 2.0}
76,high_StNum,poisoned,0.26666666666666666,False,"{'grayhole': 2.0, 'high': 3.0, 'injection': 3.0, 'masquerade': 1.0, 'poisoned': 4.0, 'random': 2.0}"
77,high_StNum,injection,0.3,False,"{'grayhole': 1.0, 'high': 2.0, 'injection': 3.0, 'poisoned': 3.0, 'random': 1.0}"
78,normal,injection,0.5,False,"{'injection': 2.0, 'masquerade': 1.0, 'random': 1.0}"
79,random_replay,injection,1.0,False,{'injection': 2.0}
80,random_replay,injection,1.0,False,{'injection': 2.0}
81,normal,injection,1.0,False,{'injection': 2.0}
82,grayhole,injection,1.0,False,{'injection': 2.0}
83,injection,injection,0.5,True,"{'grayhole': 1.0, 'injection': 3.0, 'masquerade': 1.0, 'poisoned': 1.0}"
84,injection,injection,0.3333333333333333,True,"{'grayhole': 2.0, 'high': 1.0, 'injection': 3.0, 'poisoned': 2.0, 'random': 1.0}"
85,high_StNum,poisoned,0.3333333333333333,False,"{'high': 2.0, 'injection': 2.0, 'masquerade': 1.0, 'poisoned': 3.0, 'random': 1.0}"
86,high_StNum,injection,0.2727272727272727,False,"{'grayhole': 1.0, 'high': 2.0, 'injection': 3.0, 'masquerade': 1.0, 'poisoned': 3.0, 'random': 1.0}"
87,injection,injection,0.5,True,"{'grayhole': 1.0, 'injection': 2.0, 'masquerade': 1.0}"
88,normal,injection,1.0,False,{'injection': 2.0}
89,normal,injection,0.6666666666666666,False,"{'injection': 2.0, 'random': 1.0}"
90,grayhole,injection,1.0,False,{'injection': 2.0}
91,high_StNum,high,0.25,False,"{'grayhole': 1.0, 'high': 2.0, 'injection': 2.0, 'poisoned': 2.0, 'random': 1.0}"
92,injection,injection,0.3333333333333333,True,"{'grayhole': 1.0, 'high': 1.0, 'injection': 2.0, 'poisoned': 1.0, 'random': 1.0}"
93,injection,injection,0.42857142857142855,True,"{'grayhole': 1.0, 'injection': 3.0, 'masquerade': 1.0, 'poisoned': 2.0}"
94,injection,injection,0.6,True,"{'injection': 3.0, 'masquerade': 1.0, 'poisoned': 1.0}"
95,normal,injection,0.5,False,"{'injection': 2.0, 'masquerade': 1.0, 'random': 1.0}"
96,injection,injection,0.2727272727272727,True,"{'grayhole': 2.0, 'high': 1.0, 'injection': 3.0, 'masquerade': 1.0, 'poisoned': 2.0, 'random': 2.0}"
97,normal,injection,0.6666666666666666,False,"{'injection': 2.0, 'masquerade': 1.0}"
98,grayhole,injection,1.0,False,{'injection': 2.0}
99,random_replay,injection,1.0,False,{'injection': 2.0}
100,high_StNum,high,0.25,False,"{'grayhole': 2.0, 'high': 3.0, 'injection': 2.0, 'poisoned': 3.0, 'random': 2.0}"
101,normal,injection,0.6666666666666666,False,"{'injection': 2.0, 'random': 1.0}"
102,injection,injection,0.3,True,"{'grayhole': 2.0, 'high': 1.0, 'injection': 3.0, 'masquerade': 1.0, 'poisoned': 2.0, 'random': 1.0}"
103,normal,injection,0.5,False,"{'injection': 2.0, 'masquerade': 1.0, 'random': 1.0}"
104,grayhole,injection,1.0,False,{'injection': 2.0}
105,random_replay,injection,1.0,False,{'injection': 2.0}
106,injection,injection,0.2727272727272727,True,"{'grayhole': 2.0, 'high': 1.0, 'injection': 3.0, 'masquerade': 1.0, 'poisoned': 2.0, 'random': 2.0}"
107,normal,injection,0.6666666666666666,False,"{'injection': 2.0, 'masquerade': 1.0}"
108,normal,injection,0.6666666666666666,False,"{'injection': 2.0, 'random': 1.0}"
109,grayhole,injection,1.0,False,{'injection': 2.0}
110,random_replay,injection,1.0,False,{'injection': 2.0}
111,injection,grayhole,0.2857142857142857,False,"{'grayhole': 2.0, 'high': 1.0, 'injection': 2.0, 'poisoned': 1.0, 'random': 1.0}"
112,random_replay,injection,0.6,False,"{'injection': 3.0, 'masquerade': 1.0, 'poisoned': 1.0}"
113,normal,injection,0.5,False,"{'injection': 2.0, 'masquerade': 1.0, 'random': 1.0}"
114,injection,grayhole,0.2857142857142857,False,"{'grayhole': 2.0, 'high': 1.0, 'injection': 2.0, 'poisoned': 1.0, 'random': 1.0}"
115,high_StNum,injection,0.2727272727272727,False,"{'grayhole': 1.0, 'high': 2.0, 'injection': 3.0, 'masquerade': 1.0, 'poisoned': 3.0, 'random': 1.0}"
116,normal,injection,0.6666666666666666,False,"{'injection': 2.0, 'masquerade': 1.0}"
117,grayhole,injection,1.0,False,{'injection': 2.0}
118,high_StNum,poisoned,0.26666666666666666,False,"{'grayhole': 2.0, 'high': 3.0, 'injection': 3.0, 'masquerade': 1.0, 'poisoned': 4.0, 'random': 2.0}"
119,high_StNum,injection,0.5,False,"{'injection': 3.0, 'poisoned': 3.0}"
120,high_StNum,injection,0.2857142857142857,False,"{'grayhole': 1.0, 'injection': 2.0, 'masquerade': 1.0, 'poisoned': 2.0, 'random': 1.0}"
121,injection,injection,0.5,True,"{'injection': 3.0, 'masquerade': 1.0, 'poisoned': 2.0}"
122,normal,injection,0.6666666666666666,False,"{'injection': 2.0, 'masquerade': 1.0}"
123,random_replay,injection,1.0,False,{'injection': 2.0}
124,injection,injection,0.3,True,"{'grayhole': 2.0, 'high': 1.0, 'injection': 3.0, 'masquerade': 1.0, 'poisoned': 2.0, 'random': 1.0}"
125,high_StNum,poisoned,0.3333333333333333,False,"{'high': 2.0, 'injection': 2.0, 'masquerade': 1.0, 'poisoned': 3.0, 'random': 1.0}"
126,normal,injection,1.0,False,{'injection': 2.0}
127,grayhole,injection,1.0,False,{'injection': 2.0}
128,injection,injection,0.5,True,"{'grayhole': 1.0, 'injection': 2.0, 'poisoned': 1.0}"
129,random_replay,injection,1.0,False,{'injection': 2.0}
130,injection,grayhole,0.3333333333333333,False,"{'grayhole': 2.0, 'injection': 2.0, 'poisoned': 1.0, 'random': 1.0}"
131,random_replay,injection,0.6,False,"{'injection': 3.0, 'masquerade': 1.0, 'poisoned': 1.0}"
132,random_replay,injection,0.6666666666666666,False,"{'injection': 2.0, 'masquerade': 1.0}"
133,normal,injection,1.0,False,{'injection': 2.0}
134,high_StNum,poisoned,0.26666666666666666,False,"{'grayhole': 2.0, 'high': 3.0, 'injection': 3.0, 'masquerade': 1.0, 'poisoned': 4.0, 'random': 2.0}"
135,injection,injection,0.6666666666666666,True,"{'injection': 2.0, 'masquerade': 1.0}"
136,injection,injection,0.3,True,"{'grayhole': 2.0, 'high': 1.0, 'injection': 3.0, 'masquerade': 1.0, 'poisoned': 2.0, 'random': 1.0}"
137,normal,injection,0.6666666666666666,False,"{'injection': 2.0, 'masquerade': 1.0}"
138,grayhole,injection,1.0,False,{'injection': 2.0}
139,injection,injection,0.4,True,"{'grayhole': 1.0, 'injection': 2.0, 'poisoned': 1.0, 'random': 1.0}"
140,normal,injection,1.0,False,{'injection': 2.0}
141,normal,injection,0.6666666666666666,False,"{'injection': 2.0, 'random': 1.0}"
142,grayhole,injection,1.0,False,{'injection': 2.0}
143,injection,injection,0.3,True,"{'grayhole': 2.0, 'high': 1.0, 'injection': 3.0, 'masquerade': 1.0, 'poisoned': 2.0, 'random': 1.0}"
144,injection,injection,0.4,True,"{'injection': 2.0, 'masquerade': 1.0, 'poisoned': 1.0, 'random': 1.0}"
145,injection,injection,0.5,True,"{'grayhole': 1.0, 'injection': 3.0, 'masquerade': 1.0, 'poisoned': 1.0}"
146,normal,injection,0.6666666666666666,False,"{'injection': 2.0, 'masquerade': 1.0}"
147,high_StNum,poisoned,0.26666666666666666,False,"{'grayhole': 2.0, 'high': 2.0, 'injection': 3.0, 'masquerade': 1.0, 'poisoned': 4.0, 'random': 3.0}"
148,high_StNum,high,0.23076923076923078,False,"{'grayhole': 2.0, 'high': 3.0, 'injection': 2.0, 'masquerade': 1.0, 'poisoned': 3.0, 'random': 2.0}"
149,normal,injection,1.0,False,{'injection': 2.0}
150,grayhole,injection,1.0,False,{'injection': 2.0}
151,injection,injection,0.3,True,"{'grayhole': 2.0, 'high': 1.0, 'injection': 3.0, 'masquerade': 1.0, 'poisoned': 2.0, 'random': 1.0}"
152,injection,injection,0.5,True,"{'injection': 3.0, 'masquerade': 1.0, 'poisoned': 2.0}"
153,high_StNum,high,0.25,False,"{'high': 2.0, 'injection': 2.0, 'masquerade': 1.0, 'poisoned': 2.0, 'random': 1.0}"
154,injection,injection,0.3333333333333333,True,"{'grayhole': 1.0, 'high': 1.0, 'injection': 3.0, 'masquerade': 1.0, 'poisoned': 2.0, 'random': 1.0}"
155,high_StNum,poisoned,0.3333333333333333,False,"{'high': 2.0, 'injection': 2.0, 'masquerade': 1.0, 'poisoned': 3.0, 'random': 1.0}"
156,injection,injection,0.5,True,"{'injection': 3.0, 'masquerade': 1.0, 'poisoned': 2.0}"
157,injection,injection,0.375,True,"{'grayhole': 1.0, 'injection': 3.0, 'masquerade': 1.0, 'poisoned': 2.0, 'random': 1.0}"
158,normal,injection,0.6666666666666666,False,"{'injection': 2.0, 'masquerade': 1.0}"
159,normal,injection,0.5,False,"{'injection': 2.0, 'poisoned': 1.0, 'random': 1.0}"
160,grayhole,injection,0.6666666666666666,False,"{'injection': 2.0, 'poisoned': 1.0}"
161,normal,injection,0.6666666666666666,False,"{'injection': 2.0, 'random': 1.0}"
162,injection,grayhole,0.3333333333333333,False,"{'grayhole': 2.0, 'injection': 2.0, 'poisoned': 1.0, 'random': 1.0}"
163,normal,injection,0.6666666666666666,False,"{'injection': 2.0, 'poisoned': 1.0}"
164,grayhole,injection,0.6666666666666666,False,"{'injection': 2.0, 'poisoned': 1.0}"
165,high_StNum,poisoned,0.2857142857142857,False,"{'grayhole': 2.0, 'high': 2.0, 'injection': 3.0, 'masquerade': 1.0, 'poisoned': 4.0, 'random': 2.0}"
166,injection,injection,0.375,True,"{'grayhole': 1.0, 'injection': 3.0, 'masquerade': 1.0, 'poisoned': 2.0, 'random': 1.0}"
167,injection,injection,0.25,True,"{'grayhole': 1.0, 'high': 1.0, 'injection': 2.0, 'masquerade': 1.0, 'poisoned': 1.0, 'random': 2.0}"
168,high_StNum,poisoned,0.36363636363636365,False,"{'high': 2.0, 'injection': 3.0, 'masquerade': 1.0, 'poisoned': 4.0, 'random': 1.0}"
169,normal,injection,0.6666666666666666,False,"{'injection': 2.0, 'masquerade': 1.0}"
170,normal,injection,0.5,False,"{'injection': 2.0, 'poisoned': 1.0, 'random': 1.0}"
171,grayhole,injection,0.6666666666666666,False,"{'injection': 2.0, 'poisoned': 1.0}"
172,high_StNum,poisoned,0.3333333333333333,False,"{'grayhole': 1.0, 'high': 2.0, 'injection': 3.0, 'masquerade': 1.0, 'poisoned': 4.0, 'random': 1.0}"
173,random_replay,injection,0.5,False,"{'injection': 2.0, 'masquerade': 1.0, 'random': 1.0}"
174,random_replay,injection,1.0,False,{'injection': 2.0}
175,normal,injection,0.5,False,"{'injection': 2.0, 'poisoned': 1.0, 'random': 1.0}"
176,random_replay,injection,0.6666666666666666,False,"{'injection': 2.0, 'poisoned': 1.0}"
177,random_replay,injection,0.6666666666666666,False,"{'injection': 2.0, 'random': 1.0}"
178,normal,injection,0.6666666666666666,False,"{'injection': 2.0, 'poisoned': 1.0}"
179,grayhole,injection,0.6666666666666666,False,"{'injection': 2.0, 'poisoned': 1.0}"
180,random_replay,injection,0.6666666666666666,False,"{'injection': 2.0, 'poisoned': 1.0}"
181,injection,injection,0.2727272727272727,True,"{'grayhole': 2.0, 'high': 1.0, 'injection': 3.0, 'masquerade': 1.0, 'poisoned': 2.0, 'random': 2.0}"
182,injection,injection,0.375,True,"{'grayhole': 1.0, 'injection': 3.0, 'poisoned': 2.0, 'random': 2.0}"
183,random_replay,injection,0.5,False,"{'injection': 2.0, 'masquerade': 1.0, 'poisoned': 1.0}"
184,normal,injection,0.6666666666666666,False,"{'injection': 2.0, 'poisoned': 1.0}"
185,normal,injection,0.5,False,"{'injection': 2.0, 'poisoned': 1.0, 'random': 1.0}"
186,grayhole,injection,0.6666666666666666,False,"{'injection': 2.0, 'poisoned': 1.0}"
187,random_replay,injection,0.6666666666666666,False,"{'injection': 2.0, 'poisoned': 1.0}"
188,normal,injection,0.5,False,"{'injection': 2.0, 'poisoned': 1.0, 'random': 1.0}"
189,injection,injection,0.3333333333333333,True,"{'grayhole': 1.0, 'injection': 2.0, 'masquerade': 1.0, 'poisoned': 2.0}"
190,random_replay,injection,0.6666666666666666,False,"{'injection': 2.0, 'masquerade': 1.0}"
191,random_replay,injection,0.6666666666666666,False,"{'injection': 2.0, 'poisoned': 1.0}"
192,high_StNum,poisoned,0.2857142857142857,False,"{'grayhole': 2.0, 'high': 2.0, 'injection': 3.0, 'masquerade': 1.0, 'poisoned': 4.0, 'random': 2.0}"
193,normal,injection,0.5,False,"{'injection': 2.0, 'masquerade': 1.0, 'poisoned': 1.0}"
194,grayhole,injection,0.6666666666666666,False,"{'injection': 2.0, 'poisoned': 1.0}"
195,random_replay,injection,1.0,False,{'injection': 2.0}
196,injection,grayhole,0.2857142857142857,False,"{'grayhole': 2.0, 'high': 1.0, 'injection': 2.0, 'poisoned': 1.0, 'random': 1.0}"
197,injection,injection,0.42857142857142855,True,"{'injection': 3.0, 'masquerade': 1.0, 'poisoned': 2.0, 'random': 1.0}"
198,injection,injection,0.5,True,"{'grayhole': 1.0, 'injection': 2.0, 'masquerade': 1.0}"
199,normal,injection,0.4,False,"{'grayhole': 1.0, 'injection': 2.0, 'poisoned': 1.0, 'random': 1.0}"
200,random_replay,injection,1.0,False,{'injection': 2.0}
201,random_replay,injection,1.0,False,{'injection': 2.0}
202,normal,injection,0.6666666666666666,False,"{'injection': 2.0, 'poisoned': 1.0}"
203,grayhole,injection,0.6666666666666666,False,"{'injection': 2.0, 'poisoned': 1.0}"
204,random_replay,injection,0.6666666666666666,False,"{'injection': 2.0, 'poisoned': 1.0}"
205,normal,injection,0.5,False,"{'injection': 2.0, 'poisoned': 1.0, 'random': 1.0}"
206,high_StNum,high,0.23076923076923078,False,"{'grayhole': 2.0, 'high': 3.0, 'injection': 2.0, 'poisoned': 3.0, 'random': 3.0}"
207,normal,injection,0.6666666666666666,False,"{'injection': 2.0, 'poisoned': 1.0}"
208,grayhole,injection,0.6666666666666666,False,"{'injection': 2.0, 'poisoned': 1.0}"
209,high_StNum,high,0.25,False,"{'grayhole': 2.0, 'high': 3.0, 'injection': 2.0, 'poisoned': 3.0, 'random': 2.0}"
210,high_StNum,injection,0.5,False,"{'injection': 2.0, 'poisoned': 1.0, 'random': 1.0}"
211,normal,injection,0.6666666666666666,False,"{'injection': 2.0, 'poisoned': 1.0}"
212,injection,injection,0.3,True,"{'grayhole': 2.0, 'high': 1.0, 'injection': 3.0, 'masquerade': 1.0, 'poisoned': 2.0, 'random': 1.0}"
213,high_StNum,poisoned,0.36363636363636365,False,"{'high': 2.0, 'injection': 3.0, 'masquerade': 1.0, 'poisoned': 4.0, 'random': 1.0}"
214,normal,injection,0.5,False,"{'injection': 2.0, 'masquerade': 1.0, 'poisoned': 1.0}"
215,grayhole,injection,0.6666666666666666,False,"{'injection': 2.0, 'poisoned': 1.0}"
216,high_StNum,poisoned,0.25,False,"{'grayhole': 2.0, 'high': 3.0, 'injection': 3.0, 'masquerade': 1.0, 'poisoned': 4.0, 'random': 3.0}"
217,injection,injection,0.5,True,"{'injection': 2.0, 'masquerade': 1.0, 'poisoned': 1.0}"
218,normal,injection,0.6666666666666666,False,"{'injection': 2.0, 'poisoned': 1.0}"
219,injection,injection,0.5,True,"{'grayhole': 1.0, 'injection': 2.0, 'poisoned': 1.0}"
220,injection,injection,0.375,True,"{'grayhole': 1.0, 'injection': 3.0, 'masquerade': 1.0, 'poisoned': 2.0, 'random': 1.0}"
221,normal,injection,0.5,False,"{'injection': 2.0, 'masquerade': 1.0, 'poisoned': 1.0}"
222,grayhole,injection,0.6666666666666666,False,"{'injection': 2.0, 'poisoned': 1.0}"
223,injection,injection,0.3,True,"{'grayhole': 2.0, 'injection': 3.0, 'masquerade': 1.0, 'poisoned': 2.0, 'random': 2.0}"
224,high_StNum,high,0.25,False,"{'grayhole': 1.0, 'high': 3.0, 'injection': 2.0, 'masquerade': 1.0, 'poisoned': 3.0, 'random': 2.0}"
225,normal,injection,0.6666666666666666,False,"{'injection': 2.0, 'poisoned': 1.0}"
226,random_replay,injection,0.6666666666666666,False,"{'injection': 2.0, 'poisoned': 1.0}"
227,high_StNum,injection,0.2727272727272727,False,"{'grayhole': 1.0, 'high': 2.0, 'injection': 3.0, 'masquerade': 1.0, 'poisoned': 3.0, 'random': 1.0}"
228,normal,injection,0.3333333333333333,False,"{'grayhole': 1.0, 'injection': 2.0, 'masquerade': 1.0, 'poisoned': 1.0, 'random': 1.0}"
229,grayhole,injection,0.6666666666666666,False,"{'injection': 2.0, 'poisoned': 1.0}"
230,high_StNum,poisoned,0.3333333333333333,False,"{'grayhole': 1.0, 'high': 2.0, 'injection': 2.0, 'poisoned': 3.0, 'random': 1.0}"
231,normal,injection,0.5,False,"{'injection': 2.0, 'poisoned': 1.0, 'random': 1.0}"
232,normal,injection,0.5,False,"{'injection': 2.0, 'poisoned': 1.0, 'random': 1.0}"
233,grayhole,injection,0.6666666666666666,False,"{'injection': 2.0, 'poisoned': 1.0}"
234,injection,injection,0.2727272727272727,True,"{'grayhole': 2.0, 'high': 1.0, 'injection': 3.0, 'masquerade': 1.0, 'poisoned': 2.0, 'random': 2.0}"
235,injection,injection,0.42857142857142855,True,"{'grayhole': 1.0, 'injection': 3.0, 'poisoned': 2.0, 'random': 1.0}"
236,normal,injection,0.5,False,"{'injection': 2.0, 'masquerade': 1.0, 'poisoned': 1.0}"
237,injection,injection,0.42857142857142855,True,"{'grayhole': 1.0, 'injection': 3.0, 'masquerade': 1.0, 'poisoned': 2.0}"
238,normal,injection,0.4,False,"{'injection': 2.0, 'masquerade': 1.0, 'poisoned': 1.0, 'random': 1.0}"
239,grayhole,injection,0.6666666666666666,False,"{'injection': 2.0, 'poisoned': 1.0}"
240,injection,injection,0.5,True,"{'grayhole': 1.0, 'injection': 3.0, 'masquerade': 1.0, 'poisoned': 1.0}"
241,injection,grayhole,0.25,False,"{'grayhole': 2.0, 'high': 1.0, 'injection': 2.0, 'masquerade': 1.0, 'poisoned': 1.0, 'random': 1.0}"
242,injection,injection,0.375,True,"{'grayhole': 1.0, 'injection': 3.0, 'masquerade': 1.0, 'poisoned': 2.0, 'random': 1.0}"
243,normal,injection,0.5,False,"{'injection': 2.0, 'masquerade': 1.0, 'poisoned': 1.0}"
244,high_StNum,high,0.25,False,"{'grayhole': 2.0, 'high': 3.0, 'injection': 2.0, 'poisoned': 3.0, 'random': 2.0}"
245,high_StNum,injection,0.5,False,"{'injection': 2.0, 'poisoned': 2.0}"
246,normal,injection,0.6,False,"{'injection': 3.0, 'masquerade': 1.0, 'poisoned': 1.0}"
247,grayhole,injection,0.75,False,"{'injection': 3.0, 'poisoned': 1.0}"
248,normal,injection,0.75,False,"{'injection': 3.0, 'poisoned': 1.0}"
249,grayhole,injection,0.75,False,"{'injection': 3.0, 'poisoned': 1.0}"
250,normal,injection,0.75,False,"{'injection': 3.0, 'poisoned': 1.0}"
251,grayhole,injection,0.75,False,"{'injection': 3.0, 'poisoned': 1.0}"
252,normal,injection,0.3333333333333333,False,"{'grayhole': 1.0, 'injection': 2.0, 'masquerade': 1.0, 'poisoned': 1.0, 'random': 1.0}"
253,grayhole,injection,0.6666666666666666,False,"{'injection': 2.0, 'poisoned': 1.0}"
254,normal,injection,0.5,False,"{'grayhole': 1.0, 'injection': 3.0, 'masquerade': 1.0, 'poisoned': 1.0}"
255,grayhole,injection,0.75,False,"{'injection': 3.0, 'poisoned': 1.0}"
256,random_replay,injection,0.3333333333333333,False,"{'grayhole': 1.0, 'injection': 2.0, 'masquerade': 1.0, 'poisoned': 1.0, 'random': 1.0}"
257,random_replay,injection,0.6666666666666666,False,"{'injection': 2.0, 'poisoned': 1.0}"
258,normal,injection,0.6666666666666666,False,"{'grayhole': 1.0, 'injection': 2.0}"
259,grayhole,injection,1.0,False,{'injection': 2.0}
260,normal,injection,1.0,False,{'injection': 2.0}
261,grayhole,injection,1.0,False,{'injection': 2.0}
262,normal,injection,1.0,False,{'injection': 2.0}
